customer_id,first_name,last_name,email,phone,address,city,state,zip_code,date_of_birth,account_balance,account_status,created_date,last_updated
CUST000001,Susan,Gonzalez,amosley@example.net,+1-571-328-3851x237,"339 Walker Tunnel Apt. 036, Lake Karenside, WA 57990",Port Stephaniefurt,UT,74709,1993-08-26,46737.16,Inactive,2025-11-13,2025-12-15
CUST000002,Glenn,Lawson,martinbrian@example.org,978-336-7792x1005,"Unit 8298 Box 3184, DPO AE 27133",Thomasshire,OR,37896,1951-09-18,15253.89,Suspended,2025-01-12,2025-12-08
CUST000003,Kathleen,Watson,joshuasanders@example.com,935-220-0698x76133,"60731 Curtis Ridges Suite 979, South Terriville, AS 24811",East Jaychester,ME,81583,1983-04-17,29100.64,Active,2025-04-28,2025-12-12
CUST000004,Timothy,Pineda,ashleewood@example.com,235.266.3830x188,"4142 Wood Path, New Josephport, OH 96374",Mayston,MA,19871,1976-03-23,3795.99,Inactive,2025-03-21,2025-11-24
CUST000005,Justin,Watson,william85@example.com,974.205.6174,"8762 Jessica Lane Apt. 773, Armstrongmouth, WA 52824",Lake Tiffanyland,MN,71965,1981-12-22,13509.48,Active,2025-05-19,2025-12-02
CUST000006,Whitney,Arnold,levineadam@example.com,827.201.9942x3826,"79427 Michelle Glen, Clarkburgh, FM 49835",West Stacy,AK,86173,1994-07-25,35550.06,Inactive,2024-12-08,2025-11-28
CUST000007,Angela,Martin,timothyho@example.net,(545)584-6412x13731,"22625 Jacob Stream Apt. 369, North Markstad, MT 74051",Thompsonfort,PA,04500,2003-02-10,20663.31,Suspended,2025-03-17,2025-12-19
CUST000008,Jeff,Williams,owoods@example.net,001-895-286-1344x785,"13229 Richard Ways, East Steven, NJ 76312",North Thomasbury,CA,40542,1946-02-04,41110.81,Suspended,2023-12-23,2025-12-20
CUST000009,Jimmy,Wilson,collinslawrence@example.org,845-507-9863x464,"144 Lee Plaza, South Sherryport, MO 57736",Garrisonmouth,SD,06644,1997-09-28,15891.78,Suspended,2024-04-14,2025-12-21
CUST000010,Michael,Valdez,jenniferjackson@example.net,830-374-6182,"669 Smith Shores Apt. 919, West Jessica, TN 51219",Wendyberg,FL,54818,1979-10-11,20235.08,Inactive,2025-08-03,2025-12-07
CUST000011,John,Taylor,margarethuff@example.com,875.482.0312x278,"393 Karen Avenue, South Nicholasburgh, MO 73720",Mccormickchester,CT,32879,1953-11-24,41231.62,Active,2024-08-22,2025-12-15
CUST000012,John,Copeland,snyderkimberly@example.com,835-435-1913x56534,"439 Tony Village Apt. 535, New Kristin, OK 08131",Juanfurt,IL,82122,1956-05-22,26526.76,Active,2025-07-22,2025-11-25
CUST000013,Christopher,Li,matthewrios@example.net,+1-898-224-8885,"0597 Kelly Lights Suite 454, South James, MD 04226",South Danielborough,AL,36827,1984-12-01,41426.87,Suspended,2024-09-17,2025-12-12
CUST000014,Elizabeth,Brown,bonillaisaac@example.org,(488)820-3040x24307,"6540 Nichols Mountains Suite 540, West Jesse, NH 40691",North Rebeccachester,AK,42015,1987-10-05,3611.96,Active,2024-08-04,2025-12-13
CUST000015,Danielle,Steele,michelereynolds@example.org,(807)605-9106x24107,"001 Nicholas Plain Apt. 825, Waltonshire, TN 60384",Lake Sarahberg,VI,16619,2001-10-15,2684.09,Suspended,2025-09-18,2025-11-24
CUST000016,Jared,Gardner,rodriguezderrick@example.com,384-244-2253x563,"5918 Good Squares Suite 131, Lake Sara, SC 13323",Lake Terrance,MI,88359,1956-05-17,47997.0,Inactive,2025-11-02,2025-12-01
CUST000017,Kelsey,Leon,bentonrandy@example.org,001-836-532-2114,"434 Flores Coves Suite 303, Jonesfurt, MP 35367",Johnsonfurt,HI,99454,1993-03-31,5633.89,Inactive,2025-06-10,2025-12-04
CUST000018,Rhonda,Schneider,sstewart@example.net,(328)348-1070,"60618 Morgan Fort Suite 174, Andersonstad, MA 65138",Markview,VI,46856,1985-05-30,12683.5,Inactive,2025-07-09,2025-12-08
CUST000019,Christina,Walker,dawn72@example.net,(482)842-1524x7379,"1911 Michael Viaduct Suite 059, North Jenniferville, PR 67612",West Jennifer,KY,82726,1998-12-30,30270.42,Suspended,2025-07-27,2025-11-24
CUST000020,Clifford,Baker,dwilliams@example.net,(862)983-7216,"983 Cox Estate, West Cynthiashire, DC 53944",Phyllismouth,NE,13582,1985-06-06,49118.71,Inactive,2025-06-03,2025-12-07
CUST000021,Juan,Steele,snyderalicia@example.com,001-315-508-3077x53276,"88381 Duncan Dam Apt. 909, Morganchester, KY 59845",Malloryshire,PW,99401,1954-03-06,31236.25,Suspended,2025-08-19,2025-12-08
CUST000022,Grace,Spears,tmosley@example.com,+1-472-466-5628,"2523 Andrew Unions, Lake Stephanietown, VT 48788",Mitchellstad,AS,45852,1973-06-20,299.31,Suspended,2025-05-30,2025-12-19
CUST000023,Ashley,Hawkins,slin@example.org,704.361.1988x587,"746 Lozano Plain Apt. 818, North Dianehaven, MT 06585",Kelliburgh,AK,87369,1994-03-29,40653.21,Suspended,2024-02-05,2025-12-12
CUST000024,Martin,Garcia,gonzalezjennifer@example.com,001-435-336-7369,"2089 Reed Shoal, Tracibury, CT 53321",Billyview,PA,15288,1962-11-05,27974.55,Active,2025-05-27,2025-12-08
CUST000025,Jennifer,Bass,butlerkristine@example.net,470.924.0366x7475,"34500 Francisco Alley, West Michaelfort, VT 56785",Hollandfurt,SD,98735,1980-07-24,12314.62,Suspended,2025-02-01,2025-12-03
CUST000026,Laura,Lane,cday@example.com,(613)563-7925x68269,"575 Brian Hills Suite 177, New Alfred, IN 39158",South Sue,ID,70499,1985-04-01,27328.87,Suspended,2025-04-08,2025-12-06
CUST000027,Christopher,Jones,flopez@example.net,+1-342-223-6593x2550,"Unit 7305 Box 3422, DPO AP 50157",Pollardview,VI,31662,1984-01-02,40809.37,Suspended,2025-11-16,2025-12-22
CUST000028,Kristen,Smith,melvin74@example.org,(733)854-7324,"1335 David Viaduct Suite 232, Glendaview, WV 84152",South Wesley,HI,42499,1988-09-08,10863.85,Suspended,2025-10-04,2025-12-03
CUST000029,Kathryn,Wilson,susan97@example.org,(925)246-9522x30098,"402 Samuel Fall, Port Ashley, ND 13676",Markshire,GA,02991,1975-02-04,1916.22,Inactive,2025-04-25,2025-12-04
CUST000030,Brian,Murphy,thomasstefanie@example.com,(330)585-3527,"8919 Rogers Road, Rebeccaland, PW 52550",Mollyfurt,RI,76148,1991-09-11,41727.82,Suspended,2024-06-28,2025-12-19
CUST000031,Ricardo,Price,amy94@example.com,684.798.2897x78744,"50170 Terry View Apt. 680, New Henryberg, WY 16481",Nicholasstad,MS,90144,1964-03-23,35464.69,Inactive,2024-11-22,2025-12-02
CUST000032,Brittany,Edwards,jo64@example.com,492.657.0575x9266,"276 Spencer Forge, Port Chelseyport, KY 77639",East Anthony,MT,14111,1979-05-07,7488.7,Suspended,2025-08-20,2025-12-04
CUST000033,Emily,Chang,smithamber@example.com,+1-537-384-7294x1849,"PSC 6700, Box 9363, APO AA 96502",West Ashley,PW,78889,1958-04-22,32007.5,Inactive,2025-01-04,2025-11-27
CUST000034,Rebecca,Patrick,stewartsteve@example.com,001-588-340-7914x02218,"00944 Henderson Pass, Kellermouth, WY 39071",Carlsonville,FL,76512,2007-01-16,148.8,Suspended,2024-01-11,2025-11-29
CUST000035,Danielle,Oneill,edwardcox@example.com,8655812420,"214 Bethany Tunnel Apt. 790, Myerschester, AS 45355",Riddleberg,MO,46847,1978-06-05,15060.98,Active,2025-05-12,2025-12-19
CUST000036,Clifford,Potts,qsawyer@example.org,972.283.2734x2220,"12253 Brian Shore Suite 440, South Grantville, UT 91007",West Johnberg,MS,57370,1983-02-25,21296.14,Active,2024-06-28,2025-11-28
CUST000037,Michael,Hughes,crystaltate@example.com,209-983-3965,"815 April Expressway, Paultown, MH 11074",Carrillochester,MH,69066,1970-08-06,31369.7,Active,2024-07-29,2025-12-01
CUST000038,Elizabeth,Martinez,cantumarisa@example.org,271.738.1261x250,"634 Richardson Roads, West Clayton, OR 52257",North Sandrahaven,LA,30519,1945-07-17,6068.14,Active,2024-08-20,2025-12-17
CUST000039,Nicole,Bolton,wdouglas@example.org,510.283.4985x5287,"525 Heather Mills, North Jamesmouth, MA 74247",Halltown,NH,92586,1979-09-19,857.27,Active,2025-02-23,2025-11-30
CUST000040,Mark,Lawrence,lisacarey@example.org,(974)329-4954x0550,"254 Bruce Mountains, East Ryanfort, VI 74497",West Ralph,ND,92590,1976-06-20,18678.3,Inactive,2024-01-04,2025-11-28
CUST000041,Kelly,King,edward97@example.org,715-777-5763x765,"0093 Daniel Haven Suite 856, Brownville, FL 72543",New Samanthamouth,NV,11848,2005-01-12,20519.19,Suspended,2025-07-29,2025-11-26
CUST000042,Max,Lara,michaelriley@example.com,001-634-206-8165,"1722 Neal Plaza, East Vanessabury, OR 41129",Armstrongland,LA,93056,1988-11-20,43884.65,Suspended,2025-04-03,2025-12-05
